source,target,time_duration,traffic_density,bandwidth
39.9870116.4820,39.9770116.4710,60.0,0.0114606786889609,0.8788884806781282
39.9870116.4820,39.9960116.4920,60.0,0.0126814703099371,0.9520303999708848
39.9870116.4820,39.9775116.4710,60.0,0.0118020083640103,0.7453560722516912
39.9770116.4710,39.9675116.4710,60.0,0.0157775502407908,0.8797588250727159
39.9770116.4710,39.9870116.4820,60.0,0.0114606786889609,0.3896820150317331
39.9770116.4710,39.9770116.4770,60.0,0.0325995596511617,0.7690162738207178
39.9675116.4710,39.9605116.4770,60.0,0.0178959894359845,0.8664625634641868
39.9605116.4770,39.9505116.4840,60.0,0.0132074501465475,0.9019104738453452
39.9605116.4770,39.9675116.4670,60.0,0.0144399625662526,0.7872916716150631
39.9070116.4840,39.9070116.4670,61.0,0.0116855280924696,0.6445459083643301
39.9070116.4670,39.9070116.4550,60.0,0.0162831129034044,0.7571620029883653
39.9070116.4550,39.9070116.4470,60.0,0.0244246693448734,0.9998210324764856
39.9070116.4470,39.9070116.4410,60.0,0.0325662257883665,1.027582426516904
39.9070116.4410,39.9070116.4370,62.0,0.0504776499669084,0.5849609907667246
39.9070116.4370,39.9070116.4360,60.0,0.1953973546977882,0.5130226636795113
39.9070116.4360,39.9070116.4310,60.0,0.0390794709436616,0.3218916711405436
39.9070116.4310,39.9070116.4290,60.0,0.0976986773491822,0.6056655875881384
39.9070116.4290,39.9070116.4260,60.0,0.0651324515675464,0.6202944238562624
39.9070116.4260,39.9070116.4210,62.0,0.040382119975528,0.5128265409446131
39.9070116.4210,39.9010116.4150,60.0,0.0198208337177121,0.3156020648482138
39.9070116.4210,39.9070116.4120,60.0,0.021710817197348,0.9898522625888508
39.9010116.4150,39.9010116.4140,60.0,0.1953802441578646,0.483269660159832
39.9010116.4140,39.9010116.4120,62.0,0.1009464594844292,0.3647470551393879
39.9010116.4120,39.9010116.4060,60.0,0.0325633740325392,0.6319694562557034
39.9010116.4060,39.9010116.4020,60.0,0.048845061043914,0.5700059125741148
39.9010116.4020,39.9010116.4010,1.0,0.003256337402631,0.9660698517093343
39.9010116.4010,39.9060116.4010,17.0,0.0084935812129545,0.4682033160725237
